Inventory Report,,,,,,,,,,,,,,,,,Date:  6/5/26  10:15 AM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Webster City,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17222B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17221C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17221B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17213C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17213B,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17212C,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17212B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17211C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17211B,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17203C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17203B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17202C,1,139,139,$640.10,$88.97,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17202B,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17201C,1,138,138,$640.10,$88.33,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17201B,1,138,138,$640.10,$88.33,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17193C,1,138,138,$640.10,$88.33,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A17193B,1,139,139,$640.10,$88.97,$0.00,$0.00
