Inventory Report,,,,,,,,,,,,,,,,Date:  6/4/26  5:10 PM EST   ,,
Inventory Date:  ,,4/30/26,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,
Plant:  ,,All Locations,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,
Supplier:  ,,#ALL# / OVOL USA,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,St. James,9/16/25,,,OVOL USA,06300093202591,Hi-Brite,KruBrite 80 Offset,51.8 ,813.00 mm,0,"3,057","3,057",$990.91,"$3,029.21",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,1/6/26,,,OVOL USA,06300033202612,Newsprint,Kap Paper Newsprint,45 ,864.00 mm,0,"8,121","8,121",$640.10,"$5,198.25",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/29/26,,,OVOL USA,06300033202613,Newsprint,Kap Paper Newsprint,45 ,864.00 mm,24,"19,067","19,067",$640.10,"$12,204.79",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,3/6/26,,,OVOL USA,06300033202622,Newsprint,Kap Paper Newsprint,45 ,864.00 mm,0,"8,697","8,697",$667.87,"$5,808.47",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/23/26,,,OVOL USA,06300093202611,Hi-Brite,KruBrite 80 Offset,51.8 ,864.00 mm,0,"6,449","6,449",$990.91,"$6,390.38",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,10/1/25,,,OVOL USA,063000932025101,Hi-Brite,KruBrite 80 Offset,51.8 ,889.00 mm,5,"2,792","2,792",$990.91,"$2,766.62",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,10/27/25,,,OVOL USA,0630THUN2025102,Newsprint,Thunder Bay Newsprint,45 ,889.00 mm,5,"2,298","2,298",$614.55,"$1,412.24",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/18/25,,,OVOL USA,0630THUN2025112,Newsprint,Thunder Bay Newsprint,45 ,889.00 mm,18,"9,369","9,369",$631.32,"$5,914.84",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,5/22/14,,,OVOL USA,MANUAL0065201405,Hi-Brite,Alternative Offset,66.6 ,889.00 mm,2,"1,062","1,062",$832.24,$883.84,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/3/20,,,OVOL USA,06300065202013,Newsprint,Thunder Bay Newsprint,36 ,335.00 mm,6,"1,625","1,625",$826.73,"$1,343.44",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/19/25,,,OVOL USA,MANUAL1173870-00,Hi-Brite,Inland Brite 92,74 ,343.00 mm,4,"2,080","2,080","$1,435.95","$2,986.78",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/17/26,,,OVOL USA,MANUAL1175170-00,Hi-Brite,Inland Brite 92,74 ,432.00 mm,0,"3,009","3,009","$1,414.26","$4,255.51",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/26/26,,,OVOL USA,MANUAL1175645,Hi-Brite,Inland Brite 92,74 ,432.00 mm,10,"4,357","4,357","$1,413.58","$6,158.97",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,MANUAL1175774-00,Hi-Brite,Inland Brite 92,74 ,432.00 mm,10,"4,318","4,318","$1,453.62","$6,276.73",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,7/15/21,,,OVOL USA,MANUAL1145231-00,Hi-Brite,Inland Brite 92,74 ,584.00 mm,4,"2,374","2,374","$1,173.16","$2,785.08",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,7/17/25,,,OVOL USA,MANUAL1171607,Hi-Brite,Inland Brite 92,74 ,610.00 mm,0,"1,828","1,828","$1,436.11","$2,625.21",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,3/20/24,,,OVOL USA,0630THUN202432,Newsprint,Thunder Bay Newsprint,36 ,667.00 mm,34,"17,715","17,715",$980.00,"$17,360.70",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/19/25,,,OVOL USA,MANUAL1173870-00,Hi-Brite,Inland Brite 92,74 ,686.00 mm,6,"4,211","4,211","$1,414.33","$5,955.74",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000022025121,Hi-Brite,Star Brite 80,51.8 ,775.00 mm,8,"16,696","16,696",$990.00,"$16,529.04",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/19/25,,,OVOL USA,063000932025111,Hi-Brite,KruBrite 80 Offset,51.8 ,775.00 mm,0,"5,401","5,401",$990.91,"$5,351.90",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/23/26,,,OVOL USA,06300093202611,Hi-Brite,KruBrite 80 Offset,51.8 ,775.00 mm,0,"1,311","1,311",$990.91,"$1,299.08",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,2/18/26,,,OVOL USA,06300093202623,Hi-Brite,KruBrite 80 Offset,51.8 ,775.00 mm,3,"19,556","19,556",$990.91,"$19,378.24",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/30/25,,,OVOL USA,063000332025122,Newsprint,Kap Paper Newsprint,42.5 ,813.00 mm,0,"1,344","1,344",$670.40,$901.02,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/29/26,,,OVOL USA,06300033202613,Newsprint,Kap Paper Newsprint,42.5 ,813.00 mm,0,"14,945","14,945",$670.76,"$10,024.51",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/2/25,,,OVOL USA,063000932025103,Newsprint,Kruger Newsprint,42.5 ,813.00 mm,0,"3,698","3,698",$643.99,"$2,381.48",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,6/16/25,,,OVOL USA,MANUAL1170797-00,Hi-Brite,Inland Brite 92,74 ,813.00 mm,1,"2,487","2,487","$1,436.11","$3,571.61",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,10/27/25,,,OVOL USA,063000022025104,Hi-Brite,Star Brite 80,66.6 ,864.00 mm,9,"6,441","6,441",$950.00,"$6,118.95",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/17/25,,,OVOL USA,063000332025113,Newsprint,Kap Paper Newsprint,45 ,864.00 mm,0,"15,821","15,821",$631.32,"$9,988.11",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,3/6/26,,,OVOL USA,06300033202622,Newsprint,Kap Paper Newsprint,45 ,864.00 mm,9,"19,388","19,388",$667.87,"$12,948.66",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,1/23/26,,,OVOL USA,06300093202611,Hi-Brite,KruBrite 80 Offset,51.8 ,864.00 mm,0,"8,762","8,762",$990.91,"$8,682.35",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,2/18/26,,,OVOL USA,06300093202623,Hi-Brite,KruBrite 80 Offset,51.8 ,864.00 mm,14,"19,667","19,667",$990.91,"$19,488.23",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/17/26,,,OVOL USA,MANUAL1175170-00,Hi-Brite,Inland Brite 92,74 ,864.00 mm,0,"4,337","4,337","$1,414.26","$6,133.65",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/26/26,,,OVOL USA,MANUAL1175645,Hi-Brite,Inland Brite 92,74 ,864.00 mm,6,"15,579","15,579","$1,413.58","$22,022.16",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,MANUAL1175774-00,Hi-Brite,Inland Brite 92,74 ,864.00 mm,18,"15,802","15,802","$1,453.62","$22,970.10",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/19/25,,,OVOL USA,MANUAL12032025A,Hi-Brite,Inland Brite 92,74 ,864.00 mm,1,"1,170","1,170","$1,222.20","$1,429.97",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,2/4/26,,,OVOL USA,MANUAL12222026B,Hi-Brite,Inland Brite 92,74 ,864.00 mm,1,928,928,"$1,178.59","$1,093.73",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/6/26,,,OVOL USA,MANUAL224026B,Hi-Brite,Inland Brite 92,74 ,864.00 mm,0,"6,003","6,003","$1,178.59","$7,075.08",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,11/18/25,,,OVOL USA,0630THUN2025112,Newsprint,Thunder Bay Newsprint,42.5 ,406.00 mm,0,466,466,$661.56,$308.29,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,3/24/26,3/19/26,MN202603HB,OVOL USA,531016799,Hi-Brite,Centennial Offset,51.8 ,864.00 mm,29,"19,827","19,827","$1,041.68","$20,653.39",$0.00,$0.00
